match_no,home_team,away_team,home_score,away_score
1,Mexico,South Africa,2,0
2,Rep. of Korea,Czech Rep.,2,1
3,Canada,Bosnia/Herzeg.,1,1
4,USA,Paraguay,4,1
5,Haiti,Scotland,0,1
6,Australia,Turkey,2,0
7,Brazil,Morocco,1,1
8,Qatar,Switzerland,1,1
9,Ivory Coast,Ecuador,1,0
10,Germany,Curaçao,7,1
11,Netherlands,Japan,2,2
12,Sweden,Tunisia,5,1
13,Saudi Arabia,Uruguay,1,1
14,Spain,Cape Verde,0,0
15,IR Iran,New Zealand,2,2
16,Belgium,Egypt,1,1
17,France,Senegal,3,1
18,Iraq,Norway,1,4
19,Argentina,Algeria,3,0
20,Austria,Jordan,3,1
21,Ghana,Panama,1,0
22,England,Croatia,4,2
23,Portugal,DR Congo,1,1
24,Uzbekistan,Colombia,1,3
25,Czech Rep.,South Africa,1,1
26,Switzerland,Bosnia/Herzeg.,4,1
27,Canada,Qatar,6,0
28,Mexico,Rep. of Korea,1,0
29,Brazil,Haiti,3,0
30,Scotland,Morocco,0,1
31,Turkey,Paraguay,0,1
32,USA,Australia,2,0
33,Germany,Ivory Coast,2,1
34,Ecuador,Curaçao,0,0
35,Netherlands,Sweden,5,1
36,Tunisia,Japan,0,4
37,Uruguay,Cape Verde,2,2
38,Spain,Saudi Arabia,4,0
39,Belgium,IR Iran,0,0
40,New Zealand,Egypt,1,3
41,Norway,Senegal,3,2
42,France,Iraq,3,0
43,Argentina,Austria,2,0
44,Jordan,Algeria,1,2
45,England,Ghana,0,0
46,Panama,Croatia,0,1
47,Portugal,Uzbekistan,5,0
48,Colombia,DR Congo,1,0
49,Scotland,Brazil,0,3
50,Morocco,Haiti,4,2
51,Switzerland,Canada,2,1
52,Bosnia/Herzeg.,Qatar,3,1
53,Czech Rep.,Mexico,0,3
54,South Africa,Rep. of Korea,1,0
55,Curaçao,Ivory Coast,0,2
56,Ecuador,Germany,2,1
57,Japan,Sweden,1,1
58,Tunisia,Netherlands,1,3
59,Turkey,USA,3,2
60,Paraguay,Australia,0,0
61,Norway,France,1,4
62,Senegal,Iraq,5,0
63,Egypt,IR Iran,1,1
64,New Zealand,Belgium,1,5
65,Cape Verde,Saudi Arabia,0,0
66,Uruguay,Spain,0,1
67,Panama,England,0,2
68,Croatia,Ghana,2,1
69,Algeria,Austria,3,3
70,Jordan,Argentina,1,3
71,Colombia,Portugal,0,0
72,DR Congo,Uzbekistan,3,1
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
